team_sk,team_name,qualifier_legs,legs_with_shots_on_goal,stats_coverage_tier,coverage_ratio
26,Argentina,53,53,complete,1.0
775,Austria,29,29,complete,1.0
1113,Bosnia & Herzegovina,28,28,complete,1.0
6,Brazil,53,53,complete,1.0
8,Colombia,54,54,complete,1.0
770,Czech Republic,29,29,complete,1.0
2382,Ecuador,54,54,complete,1.0
10,England,28,28,complete,1.0
2,France,24,24,complete,1.0
25,Germany,26,26,complete,1.0
1118,Netherlands,28,28,complete,1.0
2380,Paraguay,54,54,complete,1.0
27,Portugal,26,26,complete,1.0
1108,Scotland,27,27,complete,1.0
9,Spain,24,24,complete,1.0
15,Switzerland,26,26,complete,1.0
777,T³rkiye,29,29,complete,1.0
1533,Cape Verde Islands,24,0,no_stats,0.0
1501,Ivory Coast,24,0,no_stats,0.0
4673,New Zealand,5,0,no_stats,0.0
1532,Algeria,26,2,partial,0.077
32,Egypt,26,2,partial,0.077
13,Senegal,26,2,partial,0.077
28,Tunisia,26,2,partial,0.077
1508,Congo DR,29,3,partial,0.103
1504,Ghana,26,4,partial,0.154
31,Morocco,24,7,partial,0.292
2386,Haiti,23,10,partial,0.435
1548,Jordan,32,14,partial,0.438
5530,Curaþao,22,10,partial,0.455
5529,Canada,30,14,partial,0.467
1568,Uzbekistan,42,22,partial,0.524
22,Iran,52,30,partial,0.577
1567,Iraq,55,35,partial,0.636
1531,South Africa,23,15,partial,0.652
1569,Qatar,44,31,partial,0.705
12,Japan,51,36,partial,0.706
17,South Korea,51,36,partial,0.706
23,Saudi Arabia,54,40,partial,0.741
20,Australia,55,41,partial,0.745
11,Panama,46,35,partial,0.761
16,Mexico,30,23,partial,0.767
2384,USA,30,24,partial,0.8
1,Belgium,26,24,partial,0.923
1090,Norway,28,26,partial,0.929
3,Croatia,30,29,partial,0.967
5,Sweden,30,29,partial,0.967
7,Uruguay,54,53,partial,0.981
