team_sk,team_name,metric,qualifier_legs,legs_with_inputs,metric_completeness,leg_coverage_ratio
1532,Algeria,corner_kicks_per_match,26,3,partial,0.115
1532,Algeria,corners_conceded_per_match,26,3,partial,0.115
1532,Algeria,danger_zone_ratio,26,2,partial,0.077
1532,Algeria,finishing_efficiency,26,2,partial,0.077
1532,Algeria,goals_against_per_match,26,26,complete,1.0
1532,Algeria,goals_per_match,26,26,complete,1.0
1532,Algeria,pass_accuracy,26,2,partial,0.077
1532,Algeria,passes_per_match,26,2,partial,0.077
1532,Algeria,points_capture,26,26,complete,1.0
1532,Algeria,save_ratio,26,2,partial,0.077
1532,Algeria,shot_accuracy,26,2,partial,0.077
1532,Algeria,shot_share,26,2,partial,0.077
1532,Algeria,shots_per_match,26,2,partial,0.077
26,Argentina,corner_kicks_per_match,53,53,complete,1.0
26,Argentina,corners_conceded_per_match,53,53,complete,1.0
26,Argentina,danger_zone_ratio,53,41,partial,0.774
26,Argentina,finishing_efficiency,53,53,complete,1.0
26,Argentina,goals_against_per_match,53,53,complete,1.0
26,Argentina,goals_per_match,53,53,complete,1.0
26,Argentina,pass_accuracy,53,41,partial,0.774
26,Argentina,passes_per_match,53,41,partial,0.774
26,Argentina,points_capture,53,53,complete,1.0
26,Argentina,save_ratio,53,52,partial,0.981
26,Argentina,shot_accuracy,53,53,complete,1.0
26,Argentina,shot_share,53,53,complete,1.0
26,Argentina,shots_per_match,53,53,complete,1.0
20,Australia,corner_kicks_per_match,55,41,partial,0.745
20,Australia,corners_conceded_per_match,55,41,partial,0.745
20,Australia,danger_zone_ratio,55,34,partial,0.618
20,Australia,finishing_efficiency,55,41,partial,0.745
20,Australia,goals_against_per_match,55,55,complete,1.0
20,Australia,goals_per_match,55,55,complete,1.0
20,Australia,pass_accuracy,55,34,partial,0.618
20,Australia,passes_per_match,55,34,partial,0.618
20,Australia,points_capture,55,55,complete,1.0
20,Australia,save_ratio,55,41,partial,0.745
20,Australia,shot_accuracy,55,41,partial,0.745
20,Australia,shot_share,55,41,partial,0.745
20,Australia,shots_per_match,55,41,partial,0.745
775,Austria,corner_kicks_per_match,29,29,complete,1.0
775,Austria,corners_conceded_per_match,29,29,complete,1.0
775,Austria,danger_zone_ratio,29,24,partial,0.828
775,Austria,finishing_efficiency,29,29,complete,1.0
775,Austria,goals_against_per_match,29,29,complete,1.0
775,Austria,goals_per_match,29,29,complete,1.0
775,Austria,pass_accuracy,29,24,partial,0.828
775,Austria,passes_per_match,29,24,partial,0.828
775,Austria,points_capture,29,29,complete,1.0
775,Austria,save_ratio,29,29,complete,1.0
775,Austria,shot_accuracy,29,29,complete,1.0
775,Austria,shot_share,29,29,complete,1.0
775,Austria,shots_per_match,29,29,complete,1.0
1,Belgium,corner_kicks_per_match,26,26,complete,1.0
1,Belgium,corners_conceded_per_match,26,26,complete,1.0
1,Belgium,danger_zone_ratio,26,21,partial,0.808
1,Belgium,finishing_efficiency,26,24,partial,0.923
1,Belgium,goals_against_per_match,26,26,complete,1.0
1,Belgium,goals_per_match,26,26,complete,1.0
1,Belgium,pass_accuracy,26,21,partial,0.808
1,Belgium,passes_per_match,26,21,partial,0.808
1,Belgium,points_capture,26,26,complete,1.0
1,Belgium,save_ratio,26,24,partial,0.923
1,Belgium,shot_accuracy,26,24,partial,0.923
1,Belgium,shot_share,26,24,partial,0.923
1,Belgium,shots_per_match,26,24,partial,0.923
1113,Bosnia & Herzegovina,corner_kicks_per_match,28,28,complete,1.0
1113,Bosnia & Herzegovina,corners_conceded_per_match,28,28,complete,1.0
1113,Bosnia & Herzegovina,danger_zone_ratio,28,23,partial,0.821
1113,Bosnia & Herzegovina,finishing_efficiency,28,28,complete,1.0
1113,Bosnia & Herzegovina,goals_against_per_match,28,28,complete,1.0
1113,Bosnia & Herzegovina,goals_per_match,28,28,complete,1.0
1113,Bosnia & Herzegovina,pass_accuracy,28,23,partial,0.821
1113,Bosnia & Herzegovina,passes_per_match,28,23,partial,0.821
1113,Bosnia & Herzegovina,points_capture,28,28,complete,1.0
1113,Bosnia & Herzegovina,save_ratio,28,28,complete,1.0
1113,Bosnia & Herzegovina,shot_accuracy,28,28,complete,1.0
1113,Bosnia & Herzegovina,shot_share,28,28,complete,1.0
1113,Bosnia & Herzegovina,shots_per_match,28,28,complete,1.0
6,Brazil,corner_kicks_per_match,53,53,complete,1.0
6,Brazil,corners_conceded_per_match,53,53,complete,1.0
6,Brazil,danger_zone_ratio,53,41,partial,0.774
6,Brazil,finishing_efficiency,53,53,complete,1.0
6,Brazil,goals_against_per_match,53,53,complete,1.0
6,Brazil,goals_per_match,53,53,complete,1.0
6,Brazil,pass_accuracy,53,41,partial,0.774
6,Brazil,passes_per_match,53,41,partial,0.774
6,Brazil,points_capture,53,53,complete,1.0
6,Brazil,save_ratio,53,52,partial,0.981
6,Brazil,shot_accuracy,53,53,complete,1.0
6,Brazil,shot_share,53,53,complete,1.0
6,Brazil,shots_per_match,53,53,complete,1.0
5529,Canada,corner_kicks_per_match,30,14,partial,0.467
5529,Canada,corners_conceded_per_match,30,14,partial,0.467
5529,Canada,danger_zone_ratio,30,14,partial,0.467
5529,Canada,finishing_efficiency,30,14,partial,0.467
5529,Canada,goals_against_per_match,30,30,complete,1.0
5529,Canada,goals_per_match,30,30,complete,1.0
5529,Canada,pass_accuracy,30,14,partial,0.467
5529,Canada,passes_per_match,30,14,partial,0.467
5529,Canada,points_capture,30,30,complete,1.0
