team_sk,team_name,team_country,qualifier_legs,legs_with_shots_on_goal,qualifier_leagues,stats_coverage_tier,shots_on_goal_coverage_ratio
26,Argentina,,53,53,WCQSA,complete,1.0
775,Austria,,29,29,WCQEU,complete,1.0
1113,Bosnia & Herzegovina,,28,28,WCQEU,complete,1.0
6,Brazil,,53,53,WCQSA,complete,1.0
8,Colombia,,54,54,WCQSA,complete,1.0
770,Czech Republic,,29,29,WCQEU,complete,1.0
2382,Ecuador,,54,54,WCQSA,complete,1.0
10,England,,28,28,WCQEU,complete,1.0
2,France,,24,24,WCQEU,complete,1.0
25,Germany,,26,26,WCQEU,complete,1.0
18,Iceland,,26,26,WCQEU,complete,1.0
1118,Netherlands,,28,28,WCQEU,complete,1.0
2380,Paraguay,,54,54,WCQSA,complete,1.0
24,Poland,,31,31,WCQEU,complete,1.0
27,Portugal,,26,26,WCQEU,complete,1.0
4,Russia,,10,10,WCQEU,complete,1.0
1108,Scotland,,27,27,WCQEU,complete,1.0
9,Spain,,24,24,WCQEU,complete,1.0
15,Switzerland,,26,26,WCQEU,complete,1.0
777,T³rkiye,,29,29,WCQEU,complete,1.0
767,Wales,,29,29,WCQEU,complete,1.0
1533,Cape Verde Islands,,24,0,WCQAF,no_stats,0.0
1501,Ivory Coast,,24,0,WCQAF,no_stats,0.0
4673,New Zealand,,5,0,WCQOC,no_stats,0.0
30,Peru,,54,53,WCQSA,partial,0.981
7,Uruguay,,54,53,WCQSA,partial,0.981
3,Croatia,,30,29,WCQEU,partial,0.967
21,Denmark,,30,29,WCQEU,partial,0.967
5,Sweden,,30,29,WCQEU,partial,0.967
14,Serbia,,26,25,WCQEU,partial,0.962
1090,Norway,,28,26,WCQEU,partial,0.929
1,Belgium,,26,24,WCQEU,partial,0.923
29,Costa Rica,,40,35,WCQCA,partial,0.875
2384,USA,,30,24,WCQCA,partial,0.8
16,Mexico,,30,23,WCQCA,partial,0.767
11,Panama,,46,35,WCQCA,partial,0.761
20,Australia,,55,41,WCQAS,partial,0.745
23,Saudi Arabia,,54,40,WCQAS,partial,0.741
12,Japan,,51,36,WCQAS,partial,0.706
17,South Korea,,51,36,WCQAS,partial,0.706
1569,Qatar,,44,31,WCQAS,partial,0.705
1531,South Africa,,23,15,WCQAF,partial,0.652
1567,Iraq,,55,35,"WCQAS, WCQIP",partial,0.636
22,Iran,,52,30,WCQAS,partial,0.577
1568,Uzbekistan,,42,22,WCQAS,partial,0.524
5529,Canada,,30,14,WCQCA,partial,0.467
5530,Curaþao,,22,10,WCQCA,partial,0.455
1548,Jordan,,32,14,WCQAS,partial,0.438
2386,Haiti,,23,10,WCQCA,partial,0.435
31,Morocco,,24,7,WCQAF,partial,0.292
1504,Ghana,,26,4,WCQAF,partial,0.154
19,Nigeria,,28,4,WCQAF,partial,0.143
1508,Congo DR,,29,3,"WCQAF, WCQIP",partial,0.103
1532,Algeria,,26,2,WCQAF,partial,0.077
32,Egypt,,26,2,WCQAF,partial,0.077
13,Senegal,,26,2,WCQAF,partial,0.077
28,Tunisia,,26,2,WCQAF,partial,0.077
1530,Cameroon,,27,2,WCQAF,partial,0.074
