league_code,competition_type,parent_competition,confederation,slug,sort_order,tier,season_type
ACN,continental_championship,,AFC,asian-cup,50,,calendar_year
AFCCL,continental_cup,,AFC,afc-champions-league,70,,split_year
AFCON,continental_championship,,CAF,africa-cup-of-nations,40,,calendar_year
APD,domestic_league,,CONMEBOL,liga-profesional-argentina,100,1,calendar_year
BL1,domestic_league,,UEFA,bundesliga,30,1,split_year
BL2,domestic_league,,UEFA,2-bundesliga,60,2,split_year
BPL,domestic_league,,UEFA,belgian-pro-league,170,1,split_year
BSA,domestic_league,,CONMEBOL,brasileirao,90,1,calendar_year
CAFCL,continental_cup,,CAF,caf-champions-league,80,,split_year
CCCU,continental_cup,,CONCACAF,concacaf-champions-cup,90,,split_year
CDF,domestic_cup,L1,UEFA,coupe-de-france,50,,split_year
CDR,domestic_cup,PD,UEFA,copa-del-rey,20,,split_year
CIT,domestic_cup,SA,UEFA,coppa-italia,40,,split_year
CNL,continental_championship,,CONCACAF,concacaf-nations-league,80,,calendar_year
COAM,continental_championship,,CONMEBOL,copa-america,30,,calendar_year
CWC,club_world_cup,,FIFA,club-world-cup,60,,calendar_year
DFBP,domestic_cup,BL1,UEFA,dfb-pokal,30,,split_year
ED,domestic_league,,UEFA,eredivisie,70,1,split_year
EKS,domestic_league,,UEFA,ekstraklasa,190,1,split_year
EURO,continental_championship,,UEFA,euro,20,,calendar_year
FAC,domestic_cup,PL,UEFA,fa-cup,10,,split_year
GCUP,continental_championship,,CONCACAF,gold-cup,60,,calendar_year
J1,domestic_league,,AFC,j1-league,140,1,calendar_year
KL1,domestic_league,,AFC,k-league-1,150,1,calendar_year
L1,domestic_league,,UEFA,ligue-1,50,1,split_year
LIBER,continental_cup,,CONMEBOL,copa-libertadores,50,,calendar_year
LMX,domestic_league,,CONCACAF,liga-mx,110,1,split_year
LP,domestic_league,,UEFA,liga-portugal,80,1,split_year
MLS,domestic_league,,CONCACAF,mls,120,1,calendar_year
PD,domestic_league,,UEFA,la-liga,20,1,split_year
PL,domestic_league,,UEFA,premier-league,10,1,split_year
SA,domestic_league,,UEFA,serie-a,40,1,split_year
SPL,domestic_league,,AFC,saudi-pro-league,130,1,split_year
TSL,domestic_league,,UEFA,super-lig,180,1,split_year
UCL,continental_cup,,UEFA,champions-league,10,,split_year
UECL,continental_cup,,UEFA,conference-league,30,,split_year
UEL,continental_cup,,UEFA,europa-league,20,,split_year
UESC,continental_super_cup,,UEFA,uefa-super-cup,40,,calendar_year
UNL,continental_championship,,UEFA,nations-league,70,,split_year
VL,domestic_league,,UEFA,veikkausliiga,160,1,calendar_year
WC,world_championship,,FIFA,world-cup,10,,calendar_year
WCQAF,qualifying,WC,CAF,world-cup-qualification-africa,110,,calendar_year
WCQAS,qualifying,WC,AFC,world-cup-qualification-asia,120,,calendar_year
WCQCA,qualifying,WC,CONCACAF,world-cup-qualification-concacaf,130,,calendar_year
WCQEU,qualifying,WC,UEFA,world-cup-qualification-europe,90,,calendar_year
WCQIP,qualifying,WC,FIFA,world-cup-qualification-playoffs,150,,calendar_year
WCQOC,qualifying,WC,OFC,world-cup-qualification-oceania,140,,calendar_year
WCQSA,qualifying,WC,CONMEBOL,world-cup-qualification-south-america,100,,calendar_year
