competition_type,entity_type,display_group,label_i18n_key,label_en
domestic_league,club,leagues,compTypeDomesticLeague,Domestic leagues
domestic_cup,club,cups,compTypeDomesticCup,Domestic cups
domestic_super_cup,club,cups,compTypeDomesticSuperCup,Domestic super cups
club_qualifying,club,continental-club,compTypeClubQualifying,Continental club qualifiers
continental_cup,club,continental-club,compTypeContinentalCup,Continental club cups
continental_super_cup,club,continental-club,compTypeContinentalSuperCup,Continental super cups
club_world_cup,club,continental-club,compTypeClubWorldCup,Club World Cup
intercontinental_super_cup,club,continental-club,compTypeIntercontinentalSuperCup,Intercontinental Cup
club_friendly_domestic,club,,compTypeClubFriendlyDomestic,Domestic club friendlies
club_friendly_international,club,,compTypeClubFriendlyInternational,International club friendlies
qualifying,national,national-teams,compTypeQualifying,National team qualifiers
continental_championship,national,national-teams,compTypeContinentalChampionship,Continental championships
world_championship,national,national-teams,compTypeWorldChampionship,World Cup
national_team_friendly,national,,compTypeNationalTeamFriendly,National team friendlies
