country_key,country_name
afghanistan,Afghanistan
albania,Albania
algeria,Algeria
american-samoa,American Samoa
andorra,Andorra
angola,Angola
anguilla,Anguilla
antigua-and-barbuda,Antigua and Barbuda
argentina,Argentina
armenia,Armenia
aruba,Aruba
australia,Australia
austria,Austria
azerbaijan,Azerbaijan
bahamas,Bahamas
bahrain,Bahrain
bangladesh,Bangladesh
barbados,Barbados
belarus,Belarus
belgium,Belgium
belize,Belize
benin,Benin
bermuda,Bermuda
bhutan,Bhutan
bolivia,Bolivia
bonaire,Bonaire
bosnia-and-herzegovina,Bosnia and Herzegovina
botswana,Botswana
brazil,Brazil
british-virgin-islands,British Virgin Islands
brunei,Brunei
bulgaria,Bulgaria
burkina-faso,Burkina Faso
burundi,Burundi
cambodia,Cambodia
cameroon,Cameroon
canada,Canada
cape-verde,Cape Verde
cayman-islands,Cayman Islands
central-african-republic,Central African Republic
chad,Chad
chile,Chile
china,China
chinese-taipei,Chinese Taipei
colombia,Colombia
comoros,Comoros
congo,Congo
cook-islands,Cook Islands
costa-rica,Costa Rica
croatia,Croatia
cuba,Cuba
curacao,Curacao
cyprus,Cyprus
czechia,Czechia
denmark,Denmark
djibouti,Djibouti
dominica,Dominica
dominican-republic,Dominican Republic
dr-congo,DR Congo
east-timor,East Timor
ecuador,Ecuador
egypt,Egypt
el-salvador,El Salvador
england,England
equatorial-guinea,Equatorial Guinea
eritrea,Eritrea
estonia,Estonia
eswatini,Eswatini
ethiopia,Ethiopia
faroe-islands,Faroe Islands
fiji,Fiji
finland,Finland
france,France
french-guiana,French Guiana
gabon,Gabon
gambia,Gambia
georgia,Georgia
germany,Germany
ghana,Ghana
gibraltar,Gibraltar
great-britain,Great Britain
greece,Greece
grenada,Grenada
guadeloupe,Guadeloupe
guam,Guam
guatemala,Guatemala
guinea,Guinea
guinea-bissau,Guinea-Bissau
guyana,Guyana
haiti,Haiti
honduras,Honduras
hong-kong,Hong Kong
hungary,Hungary
iceland,Iceland
india,India
indonesia,Indonesia
iran,Iran
iraq,Iraq
israel,Israel
italy,Italy
ivory-coast,Ivory Coast
jamaica,Jamaica
japan,Japan
jersey,Jersey
jordan,Jordan
kazakhstan,Kazakhstan
kenya,Kenya
kosovo,Kosovo
kuwait,Kuwait
kyrgyzstan,Kyrgyzstan
laos,Laos
latvia,Latvia
lebanon,Lebanon
lesotho,Lesotho
liberia,Liberia
libya,Libya
liechtenstein,Liechtenstein
lithuania,Lithuania
luxembourg,Luxembourg
macao,Macao
madagascar,Madagascar
malawi,Malawi
malaysia,Malaysia
maldives,Maldives
mali,Mali
malta,Malta
martinique,Martinique
mauritania,Mauritania
mauritius,Mauritius
mayotte,Mayotte
mexico,Mexico
moldova,Moldova
monaco,Monaco
mongolia,Mongolia
montenegro,Montenegro
montserrat,Montserrat
morocco,Morocco
mozambique,Mozambique
myanmar,Myanmar
namibia,Namibia
nepal,Nepal
netherlands,Netherlands
new-caledonia,New Caledonia
new-zealand,New Zealand
nicaragua,Nicaragua
niger,Niger
nigeria,Nigeria
north-korea,North Korea
north-macedonia,North Macedonia
northern-cyprus,Northern Cyprus
northern-ireland,Northern Ireland
norway,Norway
oman,Oman
pakistan,Pakistan
palestine,Palestine
panama,Panama
papua-new-guinea,Papua New Guinea
paraguay,Paraguay
peru,Peru
philippines,Philippines
poland,Poland
portugal,Portugal
puerto-rico,Puerto Rico
qatar,Qatar
republic-of-ireland,Republic of Ireland
reunion,Reunion
romania,Romania
russia,Russia
rwanda,Rwanda
saint-kitts-and-nevis,Saint Kitts and Nevis
saint-lucia,Saint Lucia
saint-martin,Saint Martin
saint-vincent-and-the-grenadines,Saint Vincent and the Grenadines
samoa,Samoa
san-marino,San Marino
sao-tome-and-principe,Sao Tome and Principe
saudi-arabia,Saudi Arabia
scotland,Scotland
senegal,Senegal
serbia,Serbia
seychelles,Seychelles
sierra-leone,Sierra Leone
singapore,Singapore
slovakia,Slovakia
slovenia,Slovenia
solomon-islands,Solomon Islands
somalia,Somalia
south-africa,South Africa
south-korea,South Korea
south-sudan,South Sudan
spain,Spain
sri-lanka,Sri Lanka
sudan,Sudan
suriname,Suriname
sweden,Sweden
switzerland,Switzerland
syria,Syria
tahiti,Tahiti
tajikistan,Tajikistan
tanzania,Tanzania
thailand,Thailand
togo,Togo
tonga,Tonga
trinidad-and-tobago,Trinidad and Tobago
tunisia,Tunisia
turkey,Turkey
turkmenistan,Turkmenistan
turks-and-caicos-islands,Turks and Caicos Islands
uganda,Uganda
ukraine,Ukraine
united-arab-emirates,United Arab Emirates
united-states-of-america,United States of America
uruguay,Uruguay
us-virgin-islands,US Virgin Islands
uzbekistan,Uzbekistan
vanuatu,Vanuatu
venezuela,Venezuela
vietnam,Vietnam
wales,Wales
yemen,Yemen
yugoslavia,Yugoslavia
zambia,Zambia
zanzibar,Zanzibar
zimbabwe,Zimbabwe
