provider_country,country_name,source,note
American-Samoa,American Samoa,"CPO ruling 2026-08-16 (#69): English, everyday short form, no diacritics",Provider hyphenates multi-word names in /teams.
Antigua-and-Barbuda,Antigua and Barbuda,"CPO ruling 2026-08-16 (#69): English, everyday short form, no diacritics",Provider hyphenates multi-word names in /teams.
Bosnia,Bosnia and Herzegovina,"CPO ruling 2026-08-16 (#69): English, everyday short form, no diacritics",Provider uses a different English name.
British-Virgin-Islands,British Virgin Islands,"CPO ruling 2026-08-16 (#69): English, everyday short form, no diacritics",Provider hyphenates multi-word names in /teams.
Brunei Darussalam,Brunei,"CPO ruling 2026-08-16 (#69): English, everyday short form, no diacritics",Provider uses the formal state title; canonical is the everyday short form.
Burkina-Faso,Burkina Faso,"CPO ruling 2026-08-16 (#69): English, everyday short form, no diacritics",Provider hyphenates multi-word names in /teams.
Cape Verde Islands,Cape Verde,"CPO ruling 2026-08-16 (#69): English, everyday short form, no diacritics",Provider uses a different English name.
Cape-Verde-Islands,Cape Verde,"CPO ruling 2026-08-16 (#69): English, everyday short form, no diacritics",Provider uses a different English name.
Cayman-Islands,Cayman Islands,"CPO ruling 2026-08-16 (#69): English, everyday short form, no diacritics",Provider hyphenates multi-word names in /teams.
Central-African-Republic,Central African Republic,"CPO ruling 2026-08-16 (#69): English, everyday short form, no diacritics",Provider hyphenates multi-word names in /teams.
China PR,China,"CPO ruling 2026-08-16 (#69): English, everyday short form, no diacritics",Provider uses the FIFA form.
Chinese-Taipei,Chinese Taipei,"CPO ruling 2026-08-16 (#69): English, everyday short form, no diacritics",Provider hyphenates multi-word names in /teams.
Congo DR,DR Congo,"CPO ruling 2026-08-16 (#69): English, everyday short form, no diacritics",Provider uses the formal state title; canonical is the everyday short form.
Congo-DR,DR Congo,"CPO ruling 2026-08-16 (#69): English, everyday short form, no diacritics",Provider uses the formal state title; canonical is the everyday short form.
Cook-Islands,Cook Islands,"CPO ruling 2026-08-16 (#69): English, everyday short form, no diacritics",Provider hyphenates multi-word names in /teams.
Costa-Rica,Costa Rica,"CPO ruling 2026-08-16 (#69): English, everyday short form, no diacritics",Provider hyphenates multi-word names in /teams.
Curaçao,Curacao,"CPO ruling 2026-08-16 (#69): English, everyday short form, no diacritics",Provider spelling carries a diacritic; canonical is ASCII English.
Czech Republic,Czechia,"CPO ruling 2026-08-16 (#69): English, everyday short form, no diacritics",Provider uses the pre-rename name.
Czech-Republic,Czechia,"CPO ruling 2026-08-16 (#69): English, everyday short form, no diacritics",Provider uses the pre-rename name.
Côte d'Ivoire,Ivory Coast,"CPO ruling 2026-08-16 (#69): English, everyday short form, no diacritics",Provider uses a different English name.
Dominican-Republic,Dominican Republic,"CPO ruling 2026-08-16 (#69): English, everyday short form, no diacritics",Provider hyphenates multi-word names in /teams.
East-Timor,East Timor,"CPO ruling 2026-08-16 (#69): English, everyday short form, no diacritics",Provider hyphenates multi-word names in /teams.
El-Salvador,El Salvador,"CPO ruling 2026-08-16 (#69): English, everyday short form, no diacritics",Provider hyphenates multi-word names in /teams.
Equatorial-Guinea,Equatorial Guinea,"CPO ruling 2026-08-16 (#69): English, everyday short form, no diacritics",Provider hyphenates multi-word names in /teams.
Faroe-Islands,Faroe Islands,"CPO ruling 2026-08-16 (#69): English, everyday short form, no diacritics",Provider hyphenates multi-word names in /teams.
French-Guiana,French Guiana,"CPO ruling 2026-08-16 (#69): English, everyday short form, no diacritics",Provider hyphenates multi-word names in /teams.
FYR Macedonia,North Macedonia,"CPO ruling 2026-08-16 (#69): English, everyday short form, no diacritics",Provider uses the pre-rename name.
"Hong Kong, China",Hong Kong,"CPO ruling 2026-08-16 (#69): English, everyday short form, no diacritics",Provider uses a different English name.
Hong-Kong,Hong Kong,"CPO ruling 2026-08-16 (#69): English, everyday short form, no diacritics",Provider hyphenates multi-word names in /teams.
