metric_id,home_column,away_column,single_column,lower_is_better,format,context
league_rank,home_league_rank,away_league_rank,,true,integer,match_preview
points_won_form,home_points_won_sum_form,away_points_won_sum_form,,false,points_fraction,match_preview
goals_per_match_recent,home_goals_per_match_recent,away_goals_per_match_recent,,false,decimal_1,match_preview
goals_against_per_match_recent,home_goals_against_per_match_recent,away_goals_against_per_match_recent,,true,decimal_1,match_preview
shots_per_match_recent,home_shots_per_match_recent,away_shots_per_match_recent,,false,decimal_1,match_preview
shot_accuracy_recent,home_shot_accuracy_recent,away_shot_accuracy_recent,,false,percent,match_preview
danger_zone_ratio_recent,home_danger_zone_ratio_recent,away_danger_zone_ratio_recent,,false,percent,match_preview
finishing_efficiency_recent,home_finishing_efficiency_recent,away_finishing_efficiency_recent,,false,percent,match_preview
passes_per_match_recent,home_passes_per_match_recent,away_passes_per_match_recent,,false,decimal_0,match_preview
pass_accuracy_recent,home_pass_accuracy_recent,away_pass_accuracy_recent,,false,percent,match_preview
corner_kicks_per_match_recent,home_corner_kicks_per_match_recent,away_corner_kicks_per_match_recent,,false,decimal_1,match_preview
corners_conceded_per_match_recent,home_corners_conceded_per_match_recent,away_corners_conceded_per_match_recent,,true,decimal_1,match_preview
save_ratio_recent,home_save_ratio_recent,away_save_ratio_recent,,false,percent,match_preview
