team_api_id,team_name,source,note
257,Rangers FC,https://en.wikipedia.org/wiki/Rangers_F.C.,"Provider sends bare ""Rangers"". Wikipedia: often called Glasgow Rangers but that has never been the official name. Collides with 4459."
4459,Hong Kong Rangers FC,https://en.wikipedia.org/wiki/Hong_Kong_Rangers_FC,"Provider sends bare ""Rangers"". Collides with 257. Provider founded=1960; Wikipedia says 1958 (not corrected here)."
597,FC Lokomotiv Moscow,https://en.wikipedia.org/wiki/FC_Lokomotiv_Moscow,"Provider /teams sends bare ""Lokomotiv""; /fixtures and /standings already say ""Lokomotiv Moscow"". Collides with 3695."
3695,PFC Lokomotiv Tashkent,https://en.wikipedia.org/wiki/PFC_Lokomotiv_Tashkent,"Provider sends bare ""Lokomotiv"". Collides with 597."
414,Roda JC Kerkrade,https://en.wikipedia.org/wiki/Roda_JC_Kerkrade,"Provider sends bare ""Roda"". Collides with 9684."
9684,CD Roda,https://en.wikipedia.org/wiki/CD_Roda,"Provider sends bare ""Roda"". Villarreal-based academy club. Collides with 414."
3381,FK Velež Mostar,https://en.wikipedia.org/wiki/FK_Vele%C5%BE_Mostar,"Provider sends bare ""Velež"". Collides with 9739."
9739,Vélez CF,https://en.wikipedia.org/wiki/V%C3%A9lez_CF,"Provider sends bare ""Vélez"". Vélez-Málaga club. Collides with 3381."
14281,FC Drita,https://en.wikipedia.org/wiki/FC_Drita,"Provider sends bare ""Drita"". Gjilan, Kosovo. Collides with 2248."
2248,KF Drita Bogovinë,https://en.wikipedia.org/wiki/KF_Drita_Bogovin%C3%AB,"Provider sends bare ""Drita"". Bogovinje, North Macedonia. Collides with 14281."
6410,Al Nasr Benghazi SC,https://en.wikipedia.org/wiki/Al_Nasr_Benghazi_SC,"Provider sends bare ""Al-Nasr"". Collides with 2878."
2878,Al-Nasr SC Salalah,https://en.wikipedia.org/wiki/Al-Nasr_SC_(Salalah),"Provider sends bare ""Al Nasr"". Collides with 6410."
21310,AS Dragon,https://en.wikipedia.org/wiki/A.S._Dragon_(football),"Provider sends bare ""Dragon"". Papeete, Tahiti. Record 3045 is a suspected duplicate of this club and is NOT corrected here (see decisions_reserved)."
10531,Warriors FC,https://en.wikipedia.org/wiki/Warriors_FC,"Provider sends bare ""Warriors"". Singapore, Choa Chu Kang. Collides with 4207, whose identity is unresolved and which is therefore NOT corrected here."
167,TSG 1899 Hoffenheim,https://en.wikipedia.org/wiki/TSG_1899_Hoffenheim,"Provider sends ""1899 Hoffenheim"" without the TSG prefix Wikipedia's article title carries."
168,Bayer 04 Leverkusen,https://en.wikipedia.org/wiki/Bayer_04_Leverkusen,"Provider sends ""Bayer Leverkusen"" without the 04 Wikipedia's article title carries."
164,1. FSV Mainz 05,https://en.wikipedia.org/wiki/1._FSV_Mainz_05,"Provider sends ""FSV Mainz 05"" without the leading 1. Wikipedia's article title carries."
182,1. FC Union Berlin,https://en.wikipedia.org/wiki/1._FC_Union_Berlin,"Provider sends ""Union Berlin"" without the 1. FC Wikipedia's article title carries."
162,SV Werder Bremen,https://en.wikipedia.org/wiki/SV_Werder_Bremen,"Provider sends ""Werder Bremen"" without the SV prefix Wikipedia's article title carries."
206,Heracles Almelo,https://en.wikipedia.org/wiki/Heracles_Almelo,"Provider sends bare ""Heracles"" without the city Wikipedia's article title carries."
415,FC Twente,https://en.wikipedia.org/wiki/FC_Twente,"Provider sends bare ""Twente"", the region name, missing the FC prefix."
207,FC Utrecht,https://en.wikipedia.org/wiki/FC_Utrecht,"Provider sends bare ""Utrecht"", the city name, missing the FC prefix."
202,FC Groningen,https://en.wikipedia.org/wiki/FC_Groningen,"Provider sends bare ""Groningen"", the city name, missing the FC prefix."
210,SC Heerenveen,https://en.wikipedia.org/wiki/SC_Heerenveen,"Provider sends bare ""Heerenveen"", the town name, missing the SC prefix."
77,Angers SCO,https://en.wikipedia.org/wiki/Angers_SCO,"Provider sends bare ""Angers"", the city name, missing the SCO suffix."
108,AJ Auxerre,https://en.wikipedia.org/wiki/AJ_Auxerre,"Provider sends bare ""Auxerre"", the city name, missing the AJ prefix."
111,Le Havre AC,https://en.wikipedia.org/wiki/Le_Havre_AC,"Provider sends ""Le Havre"", the city name, missing the AC suffix."
116,RC Lens,https://en.wikipedia.org/wiki/RC_Lens,"Provider sends bare ""Lens"", the city name, missing the RC prefix."
79,Lille OSC,https://en.wikipedia.org/wiki/Lille_OSC,"Provider sends bare ""Lille"", the city name, missing the OSC suffix."
97,FC Lorient,https://en.wikipedia.org/wiki/FC_Lorient,"Provider sends bare ""Lorient"", the city name, missing the FC prefix."
112,FC Metz,https://en.wikipedia.org/wiki/FC_Metz,"Provider sends bare ""Metz"", the city name, missing the FC prefix."
83,FC Nantes,https://en.wikipedia.org/wiki/FC_Nantes,"Provider sends bare ""Nantes"", the city name, missing the FC prefix."
84,OGC Nice,https://en.wikipedia.org/wiki/OGC_Nice,"Provider sends bare ""Nice"", the city name, missing the OGC prefix."
85,Paris Saint-Germain FC,https://en.wikipedia.org/wiki/Paris_Saint-Germain_F.C.,"Provider sends ""Paris Saint Germain"", missing the hyphen and the FC suffix."
