competition_type,entity_type,single_country,label_i18n_key,label_en
domestic_league,club,true,compTypeDomesticLeague,Domestic leagues
domestic_cup,club,true,compTypeDomesticCup,Domestic cups
domestic_super_cup,club,true,compTypeDomesticSuperCup,Domestic super cups
club_qualifying,club,false,compTypeClubQualifying,Continental club qualifiers
continental_cup,club,false,compTypeContinentalCup,Continental club cups
continental_super_cup,club,false,compTypeContinentalSuperCup,Continental super cups
club_world_cup,club,false,compTypeClubWorldCup,Club World Cup
intercontinental_cup,club,false,compTypeIntercontinentalCup,Intercontinental Cup
club_friendly_domestic,club,true,compTypeClubFriendlyDomestic,Domestic club friendlies
club_friendly_international,club,false,compTypeClubFriendlyInternational,International club friendlies
qualifying,national,false,compTypeQualifying,National team qualifiers
continental_championship,national,false,compTypeContinentalChampionship,Continental championships
world_cup,national,false,compTypeWorldCup,World Cup
national_team_friendly,national,false,compTypeNationalTeamFriendly,National team friendlies
